PRODUCT_INFO_ID,GROUP_PRODUCT_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,PRODUCT_NAME,SPECIFICATION_BACKUP,RAW_PRICE,QUANTITY_SOLD,POWER,WEIGHT,VOLUME
577867,Ghế massage daikiosan,"ghế massage daikiosan , ghế massage daikiosan dkgm-00005",M&EGD000205,11757100,12932810,117571,Giá trị đơn hàng > 50 triệu,12014500,13215950,240290,Giá trị đơn hàng từ 30-50 triệu,13033600,14336960,Ghế massage Daikiosan DKGM-00005,"
• Công suất: 120W 
• Kích thước sản phẩm (Dài x Rộng x Cao): 155x74x110cm 
• Trọng lượng sản phẩm: 54 Kg 
• Ứng dụng công nghệ: - Công nghệ massage 2D - Công nghệ thông minh AI 4.0 - Kết hợp các bài massage Đông Y 
• Chương trình massage: Có 4 chương trình massage tự động 
• Động tác massage: Có 3 động tác massage mô phỏng động tác của các chuyên gia massage: Xoa bóp - nhào - ấn 
• Massage bằng nhiệt sưởi ấm: Bằng sợi cacbon vị trí: Thắt lưng 
• Massage không trọng lực (Zero Gravity): Có - Giúp giảm trọng lực tác động lên cơ thể để massage hiệu quả hơn 
• Con lăn: 26 con lăn bằng nhựa ABS 
• Túi khí: 22 Túi khí bằng TPU 
• Điều khiển: Remote tay tiện lợi bằng tiếng Việt 
• Chức năng nghe nhạc: Loa nghe nhạc hiện đại kết nối bằng bluetooth 
• Chất liệu sản phẩm: - Da bằng chất liệu PU cao cấp - Khung định hình bằng thép không gỉ, phủ lớp chống oxy hóa - Bộ vi mạnh điều khiển phủ lớp chống oxy hóa - Motor lõi đồng chất lượng cao... 
• Tải trọng tối đa: 90 Kg
giá: 14336960",14336960,8,120,54.0,0.0
577806,Ghế massage daikiosan,"ghế massage daikiosan , ghế massage daikiosan dkgm-00002",M&EGD000200,14198200,15618020,141982,Giá trị đơn hàng > 50 triệu,14509100,15960010,290182,Giá trị đơn hàng từ 30-50 triệu,15739800,17313780,Ghế Massage Daikiosan DKGM-00002,"
• Công suất: 120W 
• Kích thước sản phẩm (Dài x Rộng x Cao): 155x74x110cm 
• Trọng lượng sản phẩm: 56 Kg 
• Ứng dụng công nghệ: - Công nghệ massage 2D - Công nghệ thông minh AI 4.0 - Kết hợp các bài massage Đông Y 
• Chương trình massage: Có 4 chương trình massage tự động 
• Động tác massage: Có 3 động tác massage mô phỏng động tác của các chuyên gia massage: Xoa bóp - nhào - ấn 
• Massage bằng nhiệt sưởi ấm: Bằng sợi cacbon vị trí: Thắt lưng, bắp chân 
• Massage không trọng lực (Zero Gravity): Có - giúp giảm trọng lực tác động lên cơ thể để massage hiệu quả hơn 
• Con lăn: Con lăn bằng nhựa với 2 cấp độ ở đầu và 3 cấp độ sau gáy điều chỉnh từ nhẹ tới mạnh theo nhu cầu người dùng 
• Túi khí: 20 Túi khí bằng TPU với 5 cường độ điều chỉnh từ nhẹ tới mạnh theo nhu cầu người dùng 
• Điều khiển: Màn hình LCD cảm ứng bằng tiếng Việt 
• Chức năng nghe nhạc: Loa nghe nhạc hiện đại kết nối bằng bluetooth 
• Cấu trúc loa: 1 bên loa được thiết kế dành cho giọng nói, 1 bên loa được thiết kế dành cho nghe nhạc 
• Chất liệu sản phẩm: - Da bằng chất liệu PU cao cấp - Khung định hình bằng thép không gỉ 2 lớp, phủ lớp chống oxy hóa - Bộ vi mạnh điều khiển phủ lớp chống oxy hóa - Motor lõi đồng chất lượng cao... 
• Tải trọng tối đa: 90 Kg
giá: 17313780",17313780,11,120,56.0,0.0
577794,Ghế massage daikiosan,"ghế massage daikiosan , ghế massage makano mkgm-0001d",M&EGD000216,12554200,13809620,125542,Giá trị đơn hàng > 50 triệu,12829100,14112010,256582,Giá trị đơn hàng từ 30-50 triệu,13917300,15309030,Ghế Massage Makano MKGM-0001D,"
• Công suất: 90W 
• Tải trọng tối đa: 90 kg 
• Trục massage: Massage điểm cố định 
• Chương trình hoạt động: Massage nhào, Massage Tuina, Massage thư giãn, Mạnh mẽ, Không trọng lực, Ru ngủ 
• Thời gian sử dụng tối đa: 30 phút 
• Vị trí túi khí: Tay, Bắp chân, Đầu, Vai, Mông 
• Con lăn massage: Con lăn massage 2D 
• Kỹ thuật massage: Nhào Lăn Massage Tuina 
• Chức năng: Massage bằng con lăn Massage không trọng lực, Massage áp lực không khí, Massage nhiệt 
•Tiện ích: Nghe nhạc qua bluetooth 
• Bảng điều khiển: Điều khiển bằng tiếng Việt 
• Màn hình: LCD cảm ứng 
• Chất liệu ghế: Da PU, Thép không gỉ 
• Kích thước khi ngả ghế: Dài 163 cm - Ngang 73 cm - Cao 95 cm 
• Kích thước khi đứng ghế: Dài 112 cm - Ngang 73 cm - Cao 106 cm 
• Khối lượng: 56 kg
giá: 15309030",15309030,8,90,56.0,0.0
571595,Ghế massage daikiosan,"ghế massage daikiosan , ghế massage makano mkgm-00005",M&EGD000208,0,0,0,0,0,0,0,0,0,0,Ghế massage Makano MKGM-00005,"
• Công suất: 120W 
• Kích thước sản phẩm (Dài x Rộng x Cao): 155x74x110cm 
• Trọng lượng sản phẩm: 56 Kg 
• Ứng dụng công nghệ: - Công nghệ massage 2D - Công nghệ thông minh AI 4.0 - Kết hợp các bài massage Đông Y 
• Chương trình massage: Có 4 chương trình massage tự động 
• Động tác massage: Có 3 động tác massage mô phỏng động tác của các chuyên gia massage: Xoa bóp - nhào - ấn 
• Massage bằng nhiệt sưởi ấm: Bằng sợi cacbon vị trí: Thắt lưng 
• Massage không trọng lực (Zero Gravity): Có - Giúp giảm trọng lực tác động lên cơ thể để massage hiệu quả hơn 
• Con lăn: 26 con lăn bằng nhựa ABS 
• Túi khí: 22 Túi khí bằng TPU với 5 cường độ điều chỉnh từ nhẹ tới mạnh theo nhu cầu người dùng 
• Điều khiển: Remote tay tiện lợi bằng tiếng Việt Chức năng nghe nhạc 
• Loa nghe nhạc: hiện đại kết nối bằng bluetooth 
• Chất liệu sản phẩm: - Da bằng chất liệu PU cao cấp - Khung định hình bằng thép không gỉ, phủ lớp chống oxy hóa - Bộ vi mạnh điều khiển phủ lớp chống oxy hóa - Motor lõi đồng chất lượng cao... 
• Tải trọng tối đa: 90 Kg
giá: 14339000",14339000,6,120,56.0,0.0
571637,Ghế massage daikiosan,"ghế massage daikiosan , massage cổ dvmg-00001 ",M&EGD000209,779200,857120,7792,Giá trị đơn hàng > 10 triệu,796200,875820,15924,Giá trị đơn hàng từ 5-10 triệu,863800,950180,Massage cổ DVMG-00001 ,"Ứng dụng: Massage con lăn, sưởi nhiệt giảm đau mỏi cổ, vai gáy 3 cường độ massage, dễ dàng điều chỉnh 
Thiết kế: thông minh, ôm sát vùng cổ Tự động tắt máy su 15 phút sử dụng Cuộn tròn gấp gọn tiện lợi  Dung lượng Pin khủng Điều khiển đơn giản, dễ hiểu Phù hợp với nhiều đối tượng 
Bảo hành: 24 tháng
giá: 814880",814880,31,0,0.0,0.0
571638,Ghế massage daikiosan,"ghế massage daikiosan , massage cổ dvmg-00002",M&EGD000210,1439700,1583670,14397,Giá trị đơn hàng > 10 triệu,1471300,1618430,29426,Giá trị đơn hàng từ 5-10 triệu,1596100,1755710,Massage cổ DVMG-00002,"Kiểu dáng: nhỏ xinh, thiết kế thông minh 
Trọng lượng: nhỏ gọn, dễ dàng thu nhỏ 
Công nghệ: Hệ thống con lăn 2D, massage chuyên sâu 360 độ  Chế độ khoa học, phù hợp nhiều đối tượng sử dụng  Cảnh báo pin yếu thông minh, chủ động cho người dùng  Điều khiển dễ dàng bằng nút bấm  Chất liệu cao cấp bền bỉ vượt thời gian 
Bảo hành: 24 tháng 
giá: 1755710",1755710,48,0,0.0,0.0
571639,Ghế massage daikiosan,"ghế massage daikiosan , thảm massage dvtm-00002",M&EGD000218,1159800,1275780,11598,Giá trị đơn hàng > 10 triệu,1185200,1303720,23704,Giá trị đơn hàng từ 5-10 triệu,1285700,1414270,Thảm Massage DVTM-00002,"Công suất: 36W 
Điện áp: 12V 
Kích thước sản phẩm: 185x60 cm 
Kích thước đóng gói: 61×19.5×33cm 
Trọng lượng sản phẩm: 2.76 kg 
Trọng lượng phủ bì: 3 kg 
Vị trí massage: Đầu , cổ , lưng , bắp chân. 
Thời gian hoạt động: 15 phút cho phần đầu, 20 phút cho phần lưng 
Gồm 2 phần: Phần thảm massage và gối massage (có thể tháo tách rời). 
Công nghệ massage: Nhào, rung, massage nhiệt 
Nhiệt sưởi ấm bằng điện trở trên mặt thảm, có 1 cấp độ: H1: 37 độ 
Điều khiển: Bằng remote có dây 
Chất liệu thảm: Chất liệu bên ngoài: Mặt massage vải nhung siêu mịn tạo cảm giác mềm mại . Chất liệu bên trong: Cấu tạo gồm 3 lớp: vải nhung mềm mặt trên + Foarm dày 5mm + vải cotton. 
Đảo chiều con lăn massage: có Chức năng tiết kiệm năng lượng: có Bảng điều khiển gắn trên gối 
Bảo hành: 12 tháng nếu kích hoạt bảo hành điện tử.
giá: 1414270",1414270,36,36,5.76,0.0
577816,Ghế massage daikiosan,"ghế massage daikiosan , máy massage lưng đại việt dvml-00001",M&EGD000211,896700,986370,8967,Giá trị đơn hàng > 10 triệu,916400,1008040,18328,Giá trị đơn hàng từ 5-10 triệu,994100,1093510,Máy massage lưng Đại Việt DVML-00001,"
• Công suất: 23W 
• Điện áp: 12.8V 
• Vị trí massage: Linh động thay đổi vị trí toàn cơ thể: Hông, lưng, chân, đùi 
• Khối lượng sản phẩm: 1.35Kg 
• Khối lượng phủ bì: 1.75Kg 
• Kích thước sản phẩm: 37x12.5x34.5cm 
• Kích thước phủ bì: 37.5x13x35cm 
• Công nghệ Massage: con lăn 360 độ, sưởi nhiệt 
• Massage nóng: Có - 1 mức độ 
• Chế độ Massage tự động: Có 
• Mức điều chỉnh: 3 mức điều chỉnh chế độ massage: Cao, trung bình, thấp 
• Thời gian hoạt động mặc định của chương trình tự động: 15 phút 
• Số lần sử dụng liên tục khi được sạc đầy: Thời gian liên tục sử dụng 4 đến 5 lần 
• Điều khiển: Nút bấm trên thân máy 
• Chất liệu: Mút, vải, nhựa, kim loại và đồng 
• Pin: 2000mAH
giá: 937750",937750,8,23,3.1,0.0
577785,Ghế massage daikiosan,"ghế massage daikiosan , ghế massage makano mkgm-20006",M&EGD000207,22418200,24660020,224182,Giá trị đơn hàng > 50 triệu,22909100,25200010,458182,Giá trị đơn hàng từ 30-50 triệu,24852300,27337530,Ghế Massage Makano MKGM-20006,"
• Công suất: 100 W 
• Kích thước sản phẩm (Dài x Rộng x Cao): 155*74*105cm 
• Trọng lượng sản phẩm: 71 Kg 
• Ứng dụng công nghệ: - Công nghệ massage 3D đỉnh cao - Công nghệ thông minh AI 4.0 - Kết hợp các bài massage Đông Y 
• Scan cơ thể: Có - để điều chỉnh vị trí massage phù hợp từng người 
• Chương trình massage: Có 15 chương trình massage tự động 
• Động tác massage: Có 6 động tác massage mô phỏng động tác của các chuyên gia vật lý trị liệu: 1. Nhào 2. Gõ 3. Bấm huyệt 4. Xoa 5. Nhào gõ 6. Đấm 
• Massage không trọng lực (Zero Gravity): Có - 2 cấp độ, giúp giảm trọng lực tác động lên cơ thể để massage hiệu quả hơn 
• Con lăn: Con lăn bằng silicon với 5 cấp độ điều chỉnh từ nhẹ tới mạnh theo nhu cầu người dùng 
• Túi khí: 36 túi khí bằng TPU với 5 cường độ điều chỉnh từ nhẹ tới mạnh theo nhu cầu người dùng 
• Dây ray: SL 122cm 
• Điều khiển: Bằng giọng nói tiếng Việt 
• Bảng điều khiển: hiện đại bằng màn hình LCD cao cấp 
• Chức năng nghe nhạc: Có 
• Cổng sạc: 1 cổng sạc USB bên tay trái 
• Chức năng đặc biệt: - Ghế có chức năng cảm biến vật cản phía sau ghế trên hộp boar, để đề phòng khi ngã ghế bị vướng hay trẻ con phía sau ghế - Điều khiển giọng nói - Chế độ thư giản nghe nhạc ở chương trình tự động 
• Chất liệu sản phẩm: - Da microfiber PU đẳng cấp - Nhựa ABS nguyên sinh bọc toàn thân - Khung định hình bằng thép không gỉ, phủ lớp chống oxy hóa - Motor lõi đồng chất lượng cao... 
• Tải trọng tối đa: 90 Kg
giá: 27337530",27337530,12,100,71.0,0.0
571636,Ghế massage daikiosan,"ghế massage daikiosan , massage mắt dvmm-00001 ",M&EGD000217,724400,796840,7244,Giá trị đơn hàng > 10 triệu,740200,814220,14804,Giá trị đơn hàng từ 5-10 triệu,803000,883300,Massage mắt DVMM-00001 ,"Thiết kế máy tối giản và tiện ích Phù hợp với đa dạng đối tượng 
Có 3 công nghệ massage đỉnh cao 5 chế độ massage tự động đa dạng 
Pin khủng, thời gian sử dụng lâu 
Gấp gọn 180 độ, tiết kiệm không gian 
Tích hợp kết nối Bluetooth để phát nhạc thư giãn 
Bảo hành: 24 tháng
giá: 757570",757570,54,0,0.0,0.0
